paper_id,total_valid_chars,proof_chars,proof_density,display_chars,display_density
AOS_2026_002,242809,48677,0.2005,42033,0.1731
AOS_2026_003,94865,39521,0.4166,19589,0.2065
AOS_2026_005,107673,24358,0.2262,10288,0.0955
AOS_2026_006,171610,40795,0.2377,53632,0.3125
AOS_2026_007,147847,43740,0.2958,43574,0.2947
AOS_2026_011,269580,123581,0.4584,82634,0.3065
AOS_2026_012,203371,113956,0.5603,73632,0.3621
AOS_2026_013,287955,108093,0.3754,93423,0.3244
AOS_2026_014,307098,202411,0.6591,59576,0.194
AOS_2026_015,307098,202411,0.6591,59576,0.194
AOS_2026_016,181004,22803,0.126,34282,0.1894
AOS_2026_017,355727,186581,0.5245,96887,0.2724
AOS_2026_018,305605,100632,0.3293,81375,0.2663
AOS_2026_019,300525,151318,0.5035,72715,0.242
AOS_2026_020,166541,16042,0.0963,45861,0.2754
AOS_2026_021,342254,145460,0.425,140508,0.4105
AOS_2026_022,240797,110067,0.4571,71026,0.295
AOS_2026_024,200926,8110,0.0404,72541,0.361
AOS_2026_025,212680,107569,0.5058,146445,0.6886
AOS_2026_027,301977,24508,0.0812,103909,0.3441
AOS_2026_029,184859,49434,0.2674,44076,0.2384
AOS_2026_030,267978,90014,0.3359,86700,0.3235
AOS_2026_032,336970,52258,0.1551,83785,0.2486
AOS_2026_033,283045,139854,0.4941,87460,0.309
AOS_2026_034,364739,180417,0.4946,94248,0.2584
AOS_2026_035,98429,33815,0.3435,25675,0.2608
AOS_2026_036,101884,7993,0.0785,8264,0.0811
AOS_2026_037,95981,11059,0.1152,21826,0.2274
AOS_2026_038,140304,54373,0.3875,100013,0.7128
